FLCSX,mg_average,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
9204.722507118677,264053.8124681276,12325.785388735809,11310.86587500112,11090.695585556212,14035.342130273222,17209.2770969175,11897.01496894065,11537.34419924877,12666.234104366507,9151.594610849055,13303.74959699135,10444.307767997709
9117.060580073925,264053.8124681276,12066.616665430458,11006.05765449167,10874.007409202108,13776.312388053153,17209.2770969175,11574.005248592513,11330.087052825822,12417.03008187516,8972.31933291588,13130.341701594083,10110.706043093913
9163.470527607691,264053.8124681276,12188.578756323675,11310.86587500112,10952.800894536062,13756.38689685105,17269.916385071836,11745.009176091504,11399.17451624355,12520.148661345434,9074.763039857557,13262.131747314368,10174.859498359308
9653.35564139097,264053.8124681276,12722.16304795005,11813.387561874257,11483.145029997766,14395.989494683496,18049.313582049184,12240.407006032963,11853.167359613863,13095.885161537815,9467.460853123262,13817.032264657644,10675.261459461046
10045.267093752245,264053.8124681276,13217.632530534001,12348.863259062233,11878.434187831104,14963.857366055325,18792.354632438637,12617.91489445847,12247.945373671972,13551.320934250734,9791.868021077484,14351.123291932909,11008.864436872755
9988.542890840237,264053.8124681276,13011.820854293235,12093.482201106732,11631.380439867127,14947.916315730743,18501.88698407319,12479.398756496004,11971.60001471269,13284.936115929942,9621.127864593485,14108.353821019393,10931.88029055428
9822.957663569898,264053.8124681276,12615.443195078995,11566.244043267887,11319.870729818855,14702.836635951933,17914.549953348127,12207.811871762591,11557.08497274819,13057.802371222966,9330.874725641264,13685.241088478315,10765.077549340513
9859.14831342933,264053.8124681276,12767.8966725068,11731.006389005466,11488.672987838823,14838.328990081873,18158.1023278144,12389.778144800513,11695.255404872012,13161.840432919276,9458.925731674084,13754.606055371692,11073.017892138152
10370.973698816852,264053.8124681276,13293.857541625339,12118.194819154129,11866.004514696473,15505.826782575085,18685.78986128264,12941.09598973257,12090.031171574305,13621.381423335499,9578.445485744955,14330.312671405853,11393.788925988869
10743.214620797335,264053.8124681276,13522.537181892858,12282.958128121285,12108.742056359486,15922.261249492392,19424.198310105152,12992.7024413394,12346.63875350859,13716.75877377039,9967.440199735192,14725.683939025752,11470.77682983108
10174.516293439474,264053.8124681276,12912.727879175147,11986.38648373139,11600.05929679819,15354.393378120563,17662.666499393363,12764.563808440498,11843.298471101365,13456.645365103068,9547.755615182205,14059.80173557116,11047.357762539905
9993.567245810622,264053.8124681276,12333.408811243646,11994.624023080522,11450.443543870115,14356.138512279293,18361.657102761204,12139.920094086718,11448.523453517677,13187.856371197138,8647.19147296578,13026.297642631147,10829.232257113821
9456.404960153479,264053.8124681276,12023.613836275745,11229.969038911682,10834.196102625083,14555.27016875656,18033.908688327472,11854.969731609917,10904.285040828088,12661.51229269986,8382.163521241115,13001.333715579218,10528.800699250116
8943.67705641202,264053.8124681276,11659.741971507588,10899.919387316637,10482.760496451972,14400.265640347883,17913.127044074343,11687.799141053805,10624.434555912378,12485.411163717665,8110.897956107827,12620.697981587988,10034.853537674153
8874.961292130653,264053.8124681276,11612.278420888479,10520.362625112686,10402.432564874312,14255.884096402928,17845.18448398901,11758.637249187617,10584.454845040696,12591.070488927237,8074.7269568891725,12449.040036789658,10060.852470662663
9461.689818559356,264053.8124681276,12300.472262904535,10982.43348586716,10946.499127966956,14960.821992864654,18867.031572293025,12183.064202508665,11094.190352985437,13040.122621067922,8454.502617563003,13165.530630692143,10346.81944090176
9509.26362821622,264053.8124681276,12482.40934703699,11337.234284692711,11087.613521856409,15619.04603824636,19298.421548277354,12350.464548460028,11364.049093937301,13286.665553822739,8572.051835263934,13561.092945890352,10346.81944090176
8409.80551737873,264053.8124681276,11469.896983018161,10503.85768629751,10109.89203491346,14793.081058268812,18307.001365341188,11550.362100152637,10474.51419845695,12309.311386915215,7758.249335633228,12486.35535934806,9371.930533656672
8320.237713586557,264053.8124681276,11343.33135386179,10355.334428011642,10076.337712783406,14718.766182425765,18734.10088969846,11354.597320713108,10404.549517151858,12483.005635952783,7779.328367297919,12232.598956993268,9475.920003071149
8373.200583023496,264053.8124681276,11477.804887375134,10454.353465377339,10218.11791145929,14767.601672265482,19143.6720183262,11479.43359645348,10614.439066355502,12758.621785387035,7898.166607931075,12501.284201473123,9579.906341215845
7340.45320034773,264053.8124681276,10417.827820988818,9488.9518049044,9266.181048456167,13325.874181726987,18165.263037270448,10551.658711543043,9714.910179555489,12020.671042185102,7130.289601130355,11217.56882573793,9033.968828710336
5857.53403246293,264053.8124681276,8669.65864020901,7681.926374391347,7758.73579015519,11155.855156001255,15404.580084266641,8968.484904411398,7965.826857265413,10242.46273037678,5947.17501797135,9060.632057738421,7825.108312187346
5200.811174084782,264053.8124681276,8036.8368290432245,7211.604489073654,7208.90418739843,10043.242974968114,14317.290031271417,8523.04192376829,7306.173239221063,9877.931297505032,5542.7308925446305,8336.678173232447,7279.169547173925
5306.733551624008,264053.8124681276,7973.554014465039,7434.388894887668,7208.90418739843,9457.208879855261,14667.043303148104,8009.500950565867,7226.214566596307,9851.256847691759,5046.3661306878685,8635.214319208171,7071.194365868708
4899.31794318252,264053.8124681276,7555.479143449339,7030.926219407708,6681.341153433364,9740.2192206667,13929.344951224624,7863.315313856228,6788.292564675717,9363.259234559444,5086.316651554707,8107.240205815895,6574.905640750795
4491.933427086559,264053.8124681276,6773.321061838292,6400.051783222101,5971.001205100078,8891.215314452009,12517.331523740317,7093.056584799045,6092.056863196185,8508.785754083263,4530.158638335184,7370.2193452290785,6035.979667538057
5049.404056374624,264053.8124681276,7386.145641807177,6864.907340685922,6454.856887862471,9824.18664899237,13051.604085813377,7599.489265055805,6644.949468579007,9138.39918009229,4924.525167967186,7956.826977817228,6588.378868362858
5928.495168291522,264053.8124681276,8087.667516042704,7321.461304033688,7119.119983883705,10682.522643275943,14523.67840512508,7990.525414807359,7392.37881189939,9669.072938130408,5430.93850446447,8799.139358921198,7113.832866471446
6330.517515284619,264053.8124681276,8579.541240193439,7819.519866658203,7523.261513565921,11128.015015483361,15098.799868353737,8642.997780600546,7750.73467934465,10199.75142879763,5755.781473417542,9295.501315628235,7571.920100265763
6319.797378747206,264053.8124681276,8619.856464510256,7844.423204162,7492.172842395709,11211.98244380903,15367.185268218398,8594.444062565031,7832.644805937454,9983.88066526973,5776.082738149768,9400.79000999778,7625.813636967971
7002.03360746418,264053.8124681276,9248.807825254895,8342.479358712571,8105.814359268922,12175.27382040747,16375.8894540699,9198.360827081759,8457.20895936863,10614.86249717986,6232.890699464957,10130.291057028946,8164.73961018071
7394.6211082572445,264053.8124681276,9555.221266987714,8599.810956563066,8397.54024974331,12361.871209789317,16614.553972252183,9398.656684234165,8743.894402443446,10924.65498964805,6476.522805258285,10438.636196122887,8461.14999139214
7701.160542805126,264053.8124681276,9918.07844143567,8915.246489004108,8668.427965091809,12851.679701899073,17253.577367704736,9741.582619192674,9132.96563096275,11298.222363660225,6699.849776832161,10882.352675186106,8690.19486079721
7432.264695019804,264053.8124681276,9708.42568435737,8666.217930114033,8544.980118384174,12550.796485540728,17365.434601026016,9844.766332171688,8948.667471569639,11289.110700454123,6608.917310702509,10611.608864788506,8663.247153065171
7889.386879954554,264053.8124681276,10313.188025686753,9164.276974353339,9058.094990915486,13427.789260629435,18354.215341568826,10318.190506770723,9470.845090437719,12036.250857197447,7027.074898858859,11175.657056709704,9161.754695949634
8061.480491443933,264053.8124681276,10385.759690926021,9272.190473640212,9173.289755938093,13861.620836694787,18887.2279229109,10172.521819700396,9644.905045845684,11999.810965271765,7118.863489037308,11461.441624677649,9107.862411755337
7848.7861590323055,264053.8124681276,10123.4950679831,9067.048580772724,8906.52594718963,13299.93957191542,18294.082489635028,10038.81547911062,9478.222410467404,11812.642245083525,6902.303766936141,11123.723768263131,8977.655446721663
8123.708879847833,264053.8124681276,10417.16671742038,9310.516415310303,9180.570143587947,13769.89981296382,18697.17313547291,10304.622697384837,9779.944162197364,11996.93082241668,7127.602725937667,11502.854861267804,9156.112147804952
8743.635627962438,264053.8124681276,11053.453563578585,9805.843740467037,9707.582620875015,14463.096386328232,19635.13510577864,10808.417898698586,10393.791424854302,12522.1404221086,7547.475947992931,12185.291506951644,9664.02164133271
8921.527541725718,264053.8124681276,11224.762313687424,9831.0302674667,9855.148274594227,14503.044329760183,19780.210753501062,10880.17597003387,10601.876347336633,12724.853800635836,7670.364090694203,12352.10995658585,9732.659701177914
8117.573603775115,264053.8124681276,10286.644832588767,9102.078350827669,9064.629229383316,13274.091240984473,18264.623651358987,10008.277785572303,9779.944162197364,11766.573481199597,7080.074781710134,11435.988208859995,8928.75440655768
7555.879457497394,264053.8124681276,9699.302685462586,8656.641501651795,8569.235564565251,12505.703034009162,17456.32700410254,9730.011986828613,9228.523949434195,11176.866935980306,6690.158646074159,10821.313539146213,8528.548694658173
8147.406289141167,264053.8124681276,10335.589531620792,9186.123984406855,9193.289583395212,13462.075666085284,18596.32987164489,10388.57569545734,9842.370462972529,11983.003371051711,7190.3184075280105,11610.527693759548,9149.560278915977
7655.427904203643,264053.8124681276,9870.612587319803,8791.111240397926,8781.176177412543,12994.463032293446,17567.096689400627,10107.213848600612,9363.777313707125,11591.950284677783,6870.976882038779,11094.503662913392,8694.15215954596
8450.16422220607,264053.8124681276,10743.468550128468,9648.369189714904,9510.300908859756,14183.46899934083,19064.15745848852,10908.00462147328,10206.517017240441,12513.717694482153,7468.452796173697,12156.906810834862,9384.164404689565
8666.418208013674,264053.8124681276,11135.029597629795,10001.360080163819,9923.49896418293,14900.162187861499,19637.773190434138,11297.569960047043,10622.6868622051,12858.221993162973,7774.814610448564,12612.221799681753,9729.168961626476
