FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
9204.72011977778,11310.869143490232,11090.69353804557,17209.271066043882,11897.018508310652,11537.347426054304,12666.238250819337,9151.595660293106,13303.748466532306,10444.30774017276
9117.056526799035,11006.059871670812,10874.00274171939,17209.271066043882,11574.008666301443,11330.088001223161,12417.036797901415,8972.320399702514,13130.345092971213,10110.70666241482
9163.46814719988,11310.869143490232,10952.801490348926,17269.91033773177,11745.015483071258,11399.174725873114,12520.156785326137,9074.763129362364,13262.131747314368,10174.857608646913
9653.35233831626,11813.391938806393,11483.144273763104,18049.30868080325,12240.408791499349,11853.168386381052,13095.89359691838,9467.463806754731,13817.033395116687,10675.26204342645
10045.263724810267,12348.863937810798,11878.432088443104,18792.35496037172,12617.915880491744,12247.941964873973,13551.330968144317,9791.862236981306,14351.123291932909,11008.863747438307
9988.540371765232,12093.486658977523,11631.374405385655,18501.894179569474,12479.407223324022,11971.60180834262,13284.941949201959,9621.125966501078,14108.35269056035,10931.878353433161
9822.956012657776,11566.250275242932,11319.869984336794,17914.54373095943,12207.820236297863,11557.086704273925,13057.80672946418,9330.868986140273,13685.241088478315,10765.075622665481
9859.14329510068,11731.008815672289,11488.677499724721,18158.09875476464,12389.781869768944,11695.256407980241,13161.85296051464,9458.928686131218,13754.602663994563,11073.017198686068
10370.973636468525,12118.1992841661,11866.002416127041,18685.795649103067,12941.097097491465,12090.032233829317,13621.392847303328,9578.441657038094,14330.316062782982,11393.789464956208
10743.211974887137,12282.960714285025,12108.74125892547,19424.18081587532,12992.704510156604,12346.641352446948,13716.767544964227,9967.43536602637,14725.680547648622,11470.77360645352
10174.515423775574,11986.388984195131,11600.055898621711,17662.668491827913,12764.567674571323,11843.297998152524,13456.652643428317,9547.752756815908,14059.800605112116,11047.355818186965
9993.566406558231,11994.629415614225,11450.44015554674,18361.65618991163,12139.922783325703,11448.522921422165,13187.863504141897,8647.187734345798,13026.296512172104,10829.23157892891
9456.403370846663,11229.97228402412,10834.19341344591,18033.897002577258,11854.976080006132,10904.28817278633,12661.516436598793,8382.164645117753,13001.33484603826,10528.800039879849
8943.675553277692,10899.923500284827,10482.759147538116,17913.124895284498,11687.806368106323,10624.435398586218,12485.41656454887,8110.897655168358,12620.697981587988,10034.855414253188
8874.958960211636,10520.364701941044,10402.431221250537,17845.185069123774,11758.640736437881,10584.45493260591,12591.075946906632,8074.728110506354,12449.037775871571,10060.85121434392
9461.689909031376,10982.436659449506,10946.499065634254,18867.03595316023,12183.07255772277,11094.189767802412,13040.126969746652,8454.502767070047,13165.530630692143,10346.81879292814
9509.262870359144,11337.238524031332,11087.610157427587,19298.410876889327,12350.468258621057,11364.047800066806,13286.668683669208,8572.053908143025,13561.094076349395,10346.81879292814
8409.804103970433,10503.860721586309,10109.887417752368,18307.00861375817,11550.367392198068,10474.51576778788,12309.319396859899,7758.247134064563,12486.357620266146,9371.92994673585
